match_id;bachelor01_university;bachelor01_university_standardiz;bachelor01_degree;bachelor01_degree_standardized;bachelor01_major;bachelor01_major_standardized;bachelor02_university;bachelor02_university_standardiz;bachelor02_degree;bachelor02_degree_standardized;bachelor02_major;bachelor02_major_standardized;master01_university;master01_university_standardized;master01_degree;master01_degreestandadized;master01_major;master01_major_standardized;master02_university;master02_university_standardized;master02_degree;master02_degree_standardized;master02_major;master02_major_standardized;mba01_university;mba01_university_standardized;mba01_degree;mba01_degree_standardized;mba02_university;mba02_university_standardized;mba02_degree;mba02_degree_standardized;phd01_university;phd01_university_standardized;phd01_degree;phd01_degree_standardized;phd01_major;phd01_major_standardized;phd02_university;phd02_university_standardized;phd02_degree;phd02_degree_standardized;phd02_major;phd02_major_standardized;jd01_university;jd01_university_standardized;jd01_degree;jd01_degree_standardized
43058;Technological Educational Institute of Athens;Technological Educational Institute of Athens;Bachelor's Degree;Bachelor;Biomedical Engineering;Engineering;;;;;.;.;;;;;.;.;;;;;.;.;University of Leicester;University of Leicester;Master of Business Administration (M.B.A.);MBA;;;;;;;;;.;.;;;;;.;.;;;;
47123;;;;;;;;;;;;;HEC Lausanne - The Faculty of Business and Economics;HEC Lausanne;MSc;Master;Economics and Business Administration;Economics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47137;Indian Institute of Technology, Delhi;Indian Institute of Technology Dehli;Bachelor;Bachelor;Computer Science and Engineering ;Engineering;;;;;;;Rice University;Rice University;M.S.;Master;Computer Science;Computer Science;;;;;;;;;;;;;;;Rice University;Rice University;phD;PhD;Computer Science;Computer Science;;;;;;;;;;
45233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_cole Nationale Superieure des Telecommunications;Paris Institute of Technology;PhD;PhD;Communication & Signal Processing;Engineering;;;;;;;;;;
43847;Loyola University School of Business;Loyola University of Chicago;BBA;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43086;University of London;University of London;BSc;Bachelor;Chemistry;Chemistry;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;King's College London, University of London;King's College;PhD;PhD;.;.;;;;;.;.;;;;
45232;Florida Institute Of Technology;Florida Institute Of Technology;BS;Bachelor;Electrical Engineering;Engineering;;;;;.;.;Florida Institute Of Technology;Florida Institute Of Technology;MS;Master;Electrical Engineering;Engineering;;;;;.;.;;;;;;;;;Florida Institute Of Technology;Florida Institute Of Technology;PhD;PhD;Electrical Engineering;Engineering;;;;;.;.;;;;
47199;;;;;;;;;;;;;Unknown Organisation;other;MS;Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;University of California, Berkeley;University of California at Berkeley;BA;Bachelor;.;.;;;;;.;.;Stanford University School of Medicine;Stanford University;Postgraduate Studies;Master;.;.;;;;;.;.;;;;;;;;;Washington State University (WSU);Washington State University;PhD;PhD;.;.;;;;;.;.;;;;
47185;Boston College;Boston College;BA;Bachelor;History & Philosophy;Social Science;;;;;;;John F Kennedy School of Government, Harvard University;Harvard University;MPA;Master;Public Policy;Other;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
42762;Nijenrode Universiteit;Nyenrode Business Universiteit;BBA;;;;;;;;;;Hogere Economische Administratief Onderwijs (HEAO), Hague University;Other;Degree;Master;Marketing Management;Other Business Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47177;;;;;.;.;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
47147;Boston University;Boston University;B.S.;Computer Science;Computer Science;.;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
43767;The Wharton School of the University of Pennsylvania;University of Pennsylvania;BS;Bachelor;Economics;Economics;;;;;;;;;;;;;;;;;;;Kellogg Graduate School of Management at Northwestern University;Northwestern University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
47117;Harvard University;Harvard University;BA;Bachelor;Social studies;Social Science;;;;;;;;;;;;;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
47193;;;;;;;;;;;;;University of Applied Sciences, Berlin;Other;Diploma;Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42755;Tsinghua University;Tsinghua University;BS;Bachelor;Optical Instruments;Other;;;;;;;Tsinghua University;Tsinghua University;MS;Master;Optical Instruments;Other;;;;;;;;;;;;;;;University of Wisconsin-Madison;University of Wisconsin-Madison;PhD;PhD;Electrical Engineering;Engineering;;;;;;;;;;
42753;University of Texas at Austin;University of Texas at Austin;BBA;Bachelor;Insurance and real estate;Other Business Administration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47134;Princeton University;Princeton University;BA;Bachelor;Architecture;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2070;Rider University;Rider University;BS;Bachelor;Liberal Arts;Other;;;;;;;;;;;;;;;;;;;Fairleigh Dickinson University;Fairleigh Dickinson University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
45823;St Bonaventure University;St Bonaventure University;BS;Bachelor;Economics;Economics;;;;;;;Purdue University;Purdue University;MS;Master;Finance;Finance & Accounting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43124;Averett University;Averett University;BA;Bachelor;Organizational Behavior & Development;Other;;;;;;;;;;;;;;;;;;;New Hampshire College (NHC);Southern New Hampshire University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
40123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45204;University of Bath;University of Bath;BSc (Hons);Bachelor;Systems Engineering;Engineering;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
45788;Brown University;Brown University;AB (magna cum laude);Bachelor;History;Social Science;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45228;;;;;;;;;;;;;Instituto Superior T_ýcnico;Universidade de Lisboa;Graduated;Master;;;Universidade T_ýcnica de Lisboa, UTL (Technical University of Lisbon);Universidade de Lisboa;Degree;Master;;;;;;;;;;;Imperial College London (The Imperial College of Science Technology and Medicine);Imperial College London;PhD;PhD;;;;;;;;;;;;
43846;University of Delaware;University of Delaware;BA;Bachelor;Physics;Physics;;;;;;;Massachusetts Institute of Technology (MIT);Massachusetts Institute of Technology;Masters Degree;Master;Engineering;Engineering;;;;;;;Stanford University;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
45348;New York University (NYU);New York University;BA;Bachelor;Economics;Economics;;;;;;;;;;;;;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41057;Vanderbilt University;Vanderbilt University;BE;Bachelor;Chemical Engineering;Engineering;;;;;;;;;;;;;;;;;;;Tulane University - A.B Freeman School of Business;Tulane University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
43075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45225;Niagara University;Niagara University;BSc;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45336;University of North Carolina (UNC);University of North Carolina;BA;Bachelor;English Literature;Other;;;;;.;.;;;;;.;.;;;;;.;.;Harvard Business School;Harvard University;MBA (Hons);MBA;;;;;;;;;.;.;;;;;.;.;;;;
40513;University of California, Davis;University of California at Davis;BS;Bachelor;Aeronautical and Mechanical Engineering ;Engineering;;;;;;;;;;;;;;;;;;;Haas School of Business, University of California, Berkeley;University of California at Berkeley;MBA;MBA;;;;;;;;;;;;;;;;;;;;
26409;Trinity College, Hartford, Connecticut;Trinity College;BA;Bachelor;Economics;Economics;;;;;;;;;;;;;;;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
47159;Harvard University;Harvard University;BA;Bachelor;.;.;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
47163;George Washington University;George Washington University;BA(dual);Bachelor;philosophy and political science;Other;;;;;.;.;;;;;.;.;;;;;.;.;;;;;;;;;;;;;.;.;;;;;.;.;;;;
