43086;Exeter University;;Bachelor;Bachelor;;;;;;;;;;;;;Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration);;MBA;MBA;;;;;;;;;;;;;;;;;;;;
45232;University of Nottingham;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;Queen Elizabeth College, University of London;;PhD;PhD;;;;;;;;;University of Edinburgh;;Other;Other
47199;;;;;;;;;Murray Edwards College, Cambridge University (New Hall, Cambridge University prior to 06/2008);;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;;Judge Business School (Judge Institute of Management Studies prior to 09/2005), Cambridge University;;Other;Other
32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42762;Handelsh_jskolen i K_benhavn (Copenhagen Business School);Copenhagen Business School;BSc;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47177;University of Nottingham;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;University of Nottingham;;PhD;PhD;Universite de Lausanne (University of Lausanne);;PhD;PhD;;;;;;;;
47147;Exeter University;;Bachelor;Bachelor;;;;;;;;;;;;;Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration);;MBA;MBA;;;;;;;;;;;;;;;;;;;;
43767;;;;;;;;;;;;;;;;;;;;;;;;;Universiteit Leiden (University of Leiden);;PhD;PhD;;;;;;;;;Universiteit Leiden (University of Leiden);;Other;Other
47117;University of Michigan;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47193;Harvard;;Bachelor;Bachelor;;;;;;;;;;;;;Harvard;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
42755;University of California, Berkeley;;Bachelor;Bachelor;;;;;;;;;;;;;Wharton School, University of Pennsylvania;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
42753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47134;;;;;;;;;;;;;;;;;;;;;;;;;University of Reading;;PhD;PhD;;;;;;;;;;;;
2070;Clemson University;Clemson University;BSc;Bachelor;;;;;;;;;;;;;;;;;;;;;Unknown Organisation;other;PhD;PhD;;;;;;;;;;;;
45823;;;;;;;;;Universiteit van Amsterdam (University of Amsterdam);;Master;Master;;;;;;;;;;;;;Universiteit Leiden (University of Leiden);;PhD;PhD;;;;;;;;;;;;
43124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40123;;;;;;;;;Universiteit Utrecht (Utrecht University);;Master;Master;;;;;;;;;;;;;Universiteit Utrecht (Utrecht University);;PhD;PhD;;;;;;;;;;;;
45204;Universiteit Antwerpen (University of Antwerp);;Bachelor;Bachelor;Institute of Tropical Medicine (ITM);;Bachelor;Bachelor;Universiteit Hasselt (Hasselt University);;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45788;Oxford University;;Bachelor;Bachelor;;;;;Oxford University;;Master;Master;;;;;;;;;;;;;All Souls College, Oxford University;;PhD;PhD;;;;;;;;;;;;
45221;Ohio State University (OSU);;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;Michigan State University (MSU);;PhD;PhD;;;;;;;;;;;;
45228;;;;;;;;;Rijksuniversiteit Groningen (RUG) (University of Groningen);;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;;Unknown Organisation;;Other;Other
43846;;;;;;;;;;;;;;;;;;;;;;;;;University of Reading;;PhD;PhD;;;;;;;;;;;;
45348;Harvard College;Harvard University;BA (summa cum laude);Bachelor;;;;;Harvard Graduate School of Arts and Sciences;Harvard University;MA;Master;;;;;Harvard Business School;Harvard University;MBA (Hons);MBA;;;;;;;;;;;;;;;;;Harvard Medical School;Harvard University;Attended;Other
41057;Columbia University;Columbia University;BA (summa cum laude);Bachelor;;;;;Harvard Medical School;Harvard University;MD;Master;;;;;;;;;;;;;Harvard Medical School;Harvard University;PhD;PhD;;;;;;;;;;;;
43075;University of Maine;University of Maine;BS;Bachelor;;;;;;;;;;;;;Simmons School of Management;Simmons College;MBA;MBA;;;;;;;;;;;;;;;;;;;;
45225;University of Michigan;;Bachelor;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45336;;;;;;;;;Oxford University;;Master;Master;;;;;Stanford;;MBA;MBA;;;;;University of Sussex;;PhD;PhD;;;;;;;;;;;;
40513;United States Military Academy (USMA), West Point;United States Military Academy;BS;Bachelor;;;;;;;;;;;;;Harvard Business School;Harvard Business School;MBA;MBA;;;;;;;;;;;;;;;;;;;;
26409;University College London (UCL);University College London;BSc;Bachelor;;;;;;;;;;;;;;;;;;;;;University College London (UCL);University College London;PhD;PhD;;;;;;;;;;;;
47159;Brown University;Brown University;BS;Bachelor;;;;;;;;;;;;;Stanford University;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
